,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
1/2000 - 3/2000,1948.5,1388.6,3337.1,-0.3,3.4,1.2,73.3,49.5,61.1,119.2,63.4,182.6,6.1,4.6,5.5,5.6,1829.3,1325.2,3154.5,62.2,31.2,93.3,3.2,2.2,2.8
2/2000 - 4/2000,1952.4,1397.7,3350,-0.2,3.6,1.4,73.4,49.8,61.2,115.3,64,179.3,5.9,4.6,5.4,5.3,1837,1333.7,3170.7,66,33,99,3.4,2.4,3
3/2000 - 5/2000,1955,1405.8,3360.8,-0.4,3.2,1.1,73.4,50,61.4,107.2,60.1,167.4,5.5,4.3,5,5.1,1847.7,1345.7,3193.4,75.2,32.2,107.4,3.8,2.3,3.2
4/2000 - 6/2000,1960.7,1405.3,3365.9,[¡ì3],3,1.2,73.6,49.9,61.4,109.3,58.8,168.1,5.6,4.2,5,5.1,1851.4,1346.4,3197.8,75.2,29,104.3,3.8,2.1,3.1
5/2000 - 7/2000,1966.3,1406.3,3372.6,0.1,3.1,1.3,73.7,49.8,61.4,110.9,60.1,171,5.6,4.3,5.1,5,1855.4,1346.2,3201.6,74.5,25.6,100.2,3.8,1.8,3
6/2000 - 8/2000,1968.7,1412.2,3381,0.3,3.6,1.7,73.7,49.9,61.5,109.7,61.8,171.5,5.6,4.4,5.1,4.9,1859,1350.4,3209.4,70.4,23.6,94,3.6,1.7,2.8
7/2000 - 9/2000,1972.5,1419.1,3391.6,0.7,4.6,2.3,73.8,50.1,61.6,106.5,60.7,167.2,5.4,4.3,4.9,4.8,1866,1358.4,3224.4,65.6,22.3,87.8,3.3,1.6,2.6
8/2000 - 10/2000,1971.4,1418,3389.4,1,3.4,2,73.6,49.9,61.4,107.1,56.7,163.8,5.4,4,4.8,4.7,1864.3,1361.3,3225.5,63,22.5,85.4,3.2,1.6,2.5
9/2000 - 11/2000,1973.3,1418.9,3392.2,0.9,2.9,1.7,73.6,49.8,61.4,105.2,51.1,156.3,5.3,3.6,4.6,4.5,1868.2,1367.8,3235.9,65.5,22.8,88.2,3.3,1.6,2.6
10/2000 - 12/2000,1974.4,1427.8,3402.2,1,3.1,1.9,73.6,50,61.4,103.3,46.4,149.6,5.2,3.2,4.4,4.4,1871.2,1381.4,3252.5,66.9,21.8,88.7,3.4,1.5,2.6
11/2000 - 1/2001,1977.1,1436.4,3413.4,1.3,4.3,2.5,73.6,50.2,61.5,97.4,45.5,142.9,4.9,3.2,4.2,4.4,1879.7,1390.9,3270.6,67.8,21.7,89.5,3.4,1.5,2.6
12/2000 - 2/2001,1974,1439.5,3413.5,1.3,4.6,2.7,73.5,50.3,61.5,103.1,44.2,147.2,5.2,3.1,4.3,4.5,1870.9,1395.4,3266.2,61.3,20.8,82.1,3.1,1.4,2.4
1/2001 - 3/2001,1964.2,1442.3,3406.5,0.8,3.9,2.1,73.1,50.3,61.4,105.1,45,150.1,5.3,3.1,4.4,4.5,1859.1,1397.3,3256.4,57.1,19.8,76.9,2.9,1.4,2.3
2/2001 - 4/2001,1964.6,1446.8,3411.4,0.6,3.5,1.8,73.1,50.5,61.4,108.2,45.5,153.7,5.5,3.1,4.5,4.5,1856.4,1401.3,3257.7,53.3,20.7,74.1,2.7,1.4,2.2
3/2001 - 5/2001,1962.3,1455.1,3417.4,0.4,3.5,1.7,73,50.7,61.5,106.5,46,152.6,5.4,3.2,4.5,4.5,1855.7,1409.1,3264.8,54.9,22.3,77.2,2.8,1.5,2.3
4/2001 - 6/2001,1957.1,1455.6,3412.7,-0.2,3.6,1.4,72.8,50.6,61.3,103.8,49.3,153.1,5.3,3.4,4.5,4.5,1853.3,1406.3,3259.7,52.1,23,75.1,2.7,1.6,2.2
5/2001 - 7/2001,1958.7,1458.8,3417.5,-0.4,3.7,1.3,72.8,50.7,61.4,108.4,52.7,161.1,5.5,3.6,4.7,4.5,1850.2,1406.1,3256.4,52.6,21.8,74.3,2.7,1.5,2.2
6/2001 - 8/2001,1960.2,1465.4,3425.6,-0.4,3.8,1.3,72.8,50.8,61.5,113.7,58.8,172.4,5.8,4,5,4.8,1846.5,1406.6,3253.2,52.5,22.6,75.1,2.7,1.5,2.2
7/2001 - 9/2001,1972.6,1465.5,3438.1,[¡ì3],3.3,1.4,73.2,50.7,61.6,125,60.6,185.6,6.3,4.1,5.4,5.2,1847.6,1404.9,3252.5,59,25.1,84.1,3,1.7,2.4
8/2001 - 10/2001,1968.8,1474.7,3443.5,-0.1,4,1.6,73,51,61.6,129.8,64.4,194.2,6.6,4.4,5.6,5.5,1839.1,1410.3,3249.4,64.1,26.2,90.3,3.3,1.8,2.6
9/2001 - 11/2001,1970.4,1471.1,3441.5,-0.2,3.7,1.5,73,50.8,61.5,137.8,66.5,204.4,7,4.5,5.9,6,1832.5,1404.6,3237.1,69.1,27.9,97,3.5,1.9,2.8
10/2001 - 12/2001,1965.7,1480.4,3446.1,-0.4,3.7,1.3,72.8,51.1,61.6,139,70.6,209.6,7.1,4.8,6.1,6.3,1826.7,1409.8,3236.5,72.7,30.5,103.2,3.7,2.1,3
11/2001 - 1/2002,1962.2,1486.1,3448.3,-0.8,3.5,1,72.7,51.2,61.6,146.1,72,218.1,7.4,4.8,6.3,6.7,1816.1,1414.1,3230.2,76.8,33.5,110.4,3.9,2.3,3.2
12/2001 - 2/2002,1956.8,1493.2,3450,-0.9,3.7,1.1,72.5,51.5,61.6,149.7,76.4,226.1,7.7,5.1,6.6,6.8,1807.1,1416.8,3223.9,74.3,33.5,107.7,3.8,2.2,3.1
1/2002 - 3/2002,1954.2,1496.2,3450.4,-0.5,3.7,1.3,72.4,51.5,61.6,157.6,78.9,236.5,8.1,5.3,6.9,7,1796.6,1417.3,3213.9,73.9,33.8,107.7,3.8,2.3,3.1
2/2002 - 4/2002,1952.3,1487.9,3440.2,-0.6,2.8,0.8,72.3,51.2,61.3,160.3,83,243.3,8.2,5.6,7.1,7.1,1792,1404.8,3196.8,70.8,32.4,103.1,3.6,2.2,3
3/2002 - 5/2002,1954,1488.9,3442.9,-0.4,2.3,0.7,72.3,51.1,61.3,165,85.5,250.5,8.4,5.7,7.3,7.3,1789,1403.4,3192.4,73.2,33.3,106.5,3.7,2.2,3.1
4/2002 - 6/2002,1954.1,1498,3452.1,-0.2,2.9,1.2,72.3,51.3,61.4,170.6,90.9,261.5,8.7,6.1,7.6,7.5,1783.5,1407.1,3190.7,70.1,29.1,99.2,3.6,1.9,2.9
5/2002 - 7/2002,1968.8,1518,3486.8,0.5,4.1,2,72.9,52,62,175.5,97.2,272.8,8.9,6.4,7.8,7.5,1793.2,1420.8,3214,67.8,29.4,97.3,3.4,1.9,2.8
6/2002 - 8/2002,1969.8,1528,3497.8,0.5,4.3,2.1,72.9,52.3,62.2,171.5,101,272.5,8.7,6.6,7.8,7.4,1798.4,1427,3225.4,71,29.2,100.2,3.6,1.9,2.9
7/2002 - 9/2002,1973.7,1527.9,3501.6,0.1,4.3,1.8,73,52.3,62.2,167.3,99.1,266.5,8.5,6.5,7.6,7.3,1806.4,1428.7,3235.1,69.7,31,100.7,3.5,2,2.9
8/2002 - 10/2002,1963.7,1536.3,3500,-0.3,4.2,1.6,72.6,52.5,62.2,162.7,95.6,258.4,8.3,6.2,7.4,7.3,1801,1440.6,3241.6,72.9,33.3,106.2,3.7,2.2,3
9/2002 - 11/2002,1962.8,1538.2,3501,-0.4,4.6,1.7,72.6,52.5,62.1,157.6,94.7,252.3,8,6.2,7.2,7.3,1805.1,1443.5,3248.7,71,32.5,103.5,3.6,2.1,3
10/2002 - 12/2002,1952.3,1539.7,3492,-0.7,4,1.3,72.2,52.6,62,159.5,91.2,250.6,8.2,5.9,7.2,7.4,1792.9,1448.5,3241.4,74,33.9,107.8,3.8,2.2,3.1
11/2002 - 1/2003,1949.6,1538.6,3488.1,-0.6,3.5,1.2,72.1,52.5,61.9,158.4,84.9,243.3,8.1,5.5,7,7.4,1791.2,1453.6,3244.8,72,33.4,105.4,3.7,2.2,3
12/2002 - 2/2003,1943,1527.6,3470.6,-0.7,2.3,0.6,72,52.2,61.7,169.6,83.2,252.8,8.7,5.4,7.3,7.6,1773.3,1444.5,3217.8,65.9,32.8,98.7,3.4,2.1,2.8
1/2003 - 3/2003,1942.3,1525,3467.2,-0.6,1.9,0.5,72,52,61.6,168.8,87.6,256.4,8.7,5.7,7.4,7.5,1773.5,1437.3,3210.8,65.1,33.6,98.6,3.4,2.2,2.8
2/2003 - 4/2003,1943.4,1519.9,3463.3,-0.5,2.1,0.7,72,51.8,61.5,178.5,91.7,270.2,9.2,6,7.8,7.8,1765,1428.1,3193.1,71.1,39.3,110.4,3.7,2.6,3.2
3/2003 - 5/2003,1948.3,1517.7,3466,-0.3,1.9,0.7,72.2,51.7,61.5,187.1,96.4,283.5,9.6,6.4,8.2,8.2,1761.2,1421.3,3182.5,87.2,44.9,132.1,4.5,3,3.8
4/2003 - 6/2003,1947.9,1523,3470.9,-0.3,1.7,0.5,72.1,51.8,61.5,197.5,99,296.5,10.1,6.5,8.5,8.5,1750.5,1424,3174.4,98.9,49.2,148.1,5.1,3.2,4.3
5/2003 - 7/2003,1949.3,1524.5,3473.8,-1,0.4,-0.4,72.2,51.8,61.5,198.8,108,306.8,10.2,7.1,8.8,8.4,1750.5,1416.5,3167,100,46.2,146.2,5.1,3,4.2
6/2003 - 8/2003,1952.4,1530.6,3483,-0.9,0.2,-0.4,72.3,51.9,61.6,198,109.7,307.7,10.1,7.2,8.8,8.4,1754.4,1420.9,3175.4,94.8,45.1,139.8,4.9,2.9,4
7/2003 - 9/2003,1951.2,1522.5,3473.6,-1.1,-0.4,-0.8,72.2,51.5,61.4,191.4,105.1,296.5,9.8,6.9,8.5,8.2,1759.7,1417.4,3177.1,83.9,41,124.9,4.3,2.7,3.6
8/2003 - 10/2003,1948,1520.2,3468.2,-0.8,-1,-0.9,72,51.4,61.2,182.9,97.5,280.5,9.4,6.4,8.1,8,1765,1422.7,3187.7,77.8,41.2,119,4,2.7,3.4
9/2003 - 11/2003,1944.7,1525.3,3470,-0.9,-0.8,-0.9,71.8,51.5,61.2,171.1,91.8,262.9,8.8,6,7.6,7.6,1773.6,1433.5,3207.1,71.9,43.2,115.1,3.7,2.8,3.3
